へ (hướng đi)	Dùng khi nhấn mạnh hướng di chuyển. Ví dụ: 日本へ行きます。= Đi về phía Nhật.
に (điểm đến)	Dùng khi nhấn mạnh điểm đến cụ thể. Ví dụ: 東京に行きます。
に (thời điểm)	Dùng với thời điểm cụ thể. Ví dụ: 7時に起きます。
で (phương tiện)	Dùng cho phương tiện/cách thức. Ví dụ: 電車で行きます。
で (nơi diễn ra hành động)	Dùng cho địa điểm có hành động. Ví dụ: 図書館で勉強します。
から (mốc bắt đầu)	Nghĩa là từ (thời gian/không gian). Ví dụ: 9時から始まります。
まで (mốc kết thúc)	Nghĩa là đến (điểm kết thúc). Ví dụ: 5時まで働きます。
までに (hạn chót)	Nghĩa là trước/không muộn hơn. Ví dụ: 金曜日までに出します。
を (tân ngữ trực tiếp)	Đánh dấu đối tượng trực tiếp của hành động. Ví dụ: 本を読みます。
に (người nhận)	Đánh dấu người nhận/hướng tới. Ví dụ: 先生に聞きます。
と (cùng với)	Diễn tả cùng làm với ai. Ví dụ: 友だちと話します。
も (cũng)	Thêm nghĩa cũng. Ví dụ: 私も行きます。
より (so với)	Dùng làm chuẩn so sánh hơn. Ví dụ: AはBより高いです。
ほど (không bằng/đến mức)	Dùng trong so sánh phủ định hoặc mức độ. Ví dụ: 去年ほど寒くない。
くらい (khoảng/đến mức)	Dùng cho xấp xỉ hoặc mức độ. Ví dụ: 1時間くらい勉強した。
こそ (chính là)	Nhấn mạnh mạnh. Ví dụ: 今こそ始めるべきだ。
さえ (ngay cả)	Nêu trường hợp cực đoan. Ví dụ: 子どもでさえ分かる。
すら (đến cả)	Gần nghĩa さえ nhưng văn viết hơn. Ví dụ: 名前すら知らない。
のみ (chỉ, văn viết)	Sắc thái trang trọng/thông báo. Ví dụ: 関係者のみ入場可。
だけ (chỉ)	Giới hạn trung tính, thông dụng. Ví dụ: 水だけ飲みます。
ばかり (toàn/chỉ toàn)	Thường kèm sắc thái lặp lại/thiên lệch. Ví dụ: 文句ばかり言う。
しか (chỉ...không)	Luôn đi với phủ định. Ví dụ: 1000円しかない。
どころか (đâu phải...mà còn)	Phủ định kỳ vọng trước đó. Ví dụ: 休むどころか残業した。
ばかりか (không chỉ...mà còn)	Văn viết hơn だけでなく. Ví dụ: 英語ばかりか中国語も話せる。
はおろか (huống hồ)	Đến mức dễ còn không, mức khó càng không. Ví dụ: 漢字はおろかひらがなも難しい。
抜きで (không có/loại bỏ)	Bỏ một thành phần ra. Ví dụ: 冗談抜きで話す。
に関して (liên quan đến)	Dùng trong văn viết, báo cáo. Ví dụ: 環境問題に関して。
に対して (đối với/đối ứng)	Thể hiện quan hệ hướng tới/đối ứng. Ví dụ: お客様に対して失礼だ。
に際して (nhân dịp)	Dùng trong bối cảnh trang trọng/sự kiện. Ví dụ: 入学に際して。
にかけて (từ...đến.../về mặt)	Diễn tả khoảng kéo dài hoặc lĩnh vực. Ví dụ: 夜から朝にかけて。
へ vs に (di chuyển)	へ nhấn hướng; に nhấn điểm đến cụ thể.
に vs で (địa điểm)	に = nơi tồn tại/trạng thái; で = nơi hành động diễn ra.
まで vs までに	まで = kéo dài đến mốc; までに = hoàn thành trước hạn.
に聞く vs と話す	に聞く = hỏi ai; と話す = nói chuyện với ai.
を vs が (cơ bản)	を đánh dấu tân ngữ trực tiếp; が thường đánh dấu chủ thể/điều mới.
だけ vs しか	だけ trung tính; しか luôn đi với phủ định để nhấn ngoài ra không có.
だけ vs のみ	のみ trang trọng hơn, hay gặp văn bản/thông báo.
さえ vs すら	Cùng nghĩa ngay cả; すら thiên văn viết/trang trọng hơn.
より vs ほど	より dùng để so sánh hơn; ほど hay dùng trong cấu trúc không bằng.
ほど vs くらい	Cùng có nghĩa đến mức; くらい còn dùng cho số lượng xấp xỉ.
ばかり vs だけ	ばかり có sắc thái thiên lệch/lặp lại; だけ trung tính.
どころか vs ばかりか	どころか = phủ định kỳ vọng; ばかりか = cộng thêm thông tin cùng hướng.
はおろか vs さえ	はおろか nhấn mức dễ còn không; さえ nhấn ngay cả trường hợp cực đoan.
から (nguồn nhận)	Nghĩa là từ ai (nhận thông tin/vật). Ví dụ: 友だちから手紙をもらった。
Nに会う	Động từ 会う thường đi với に. Ví dụ: 先生に会いました。
Nと結婚する	Động từ 結婚する thường đi với と. Ví dụ: 田中さんと結婚した。
Nで買う	Mua ở đâu thì dùng で. Ví dụ: スーパーで野菜を買う。
Nに住む	Sống ở đâu thường dùng に. Ví dụ: 東京に住んでいます。
Nに座る	Ngồi vào vị trí đích dùng に. Ví dụ: いすに座る。
Nを出る	Rời khỏi địa điểm dùng を với động từ 出る. Ví dụ: 家を出る。
Nを渡る	Băng qua không gian dùng を. Ví dụ: 橋を渡る。
Vてから	Sau khi làm V1 thì làm V2. Ví dụ: ご飯を食べてから勉強する。
NしかVない	Mẫu nhấn mạnh chỉ và phủ định. Ví dụ: 5分しかありません。
NばかりV	Mẫu toàn/chỉ toàn làm gì đó. Ví dụ: 甘いものばかり食べる。
Nに関してNに対して	に関して = về chủ đề; に対して = đối với đối tượng/hướng phản hồi.
Nに際してNにかけて	に際して = nhân dịp sự kiện; にかけて = từ...đến... hoặc xét về lĩnh vực.
trợ từ mục tiêu học	Học theo sơ đồ: Làm gì -> Ở đâu -> Bằng gì -> Với ai -> Từ đâu -> Đến đâu -> Trước khi nào.
